CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;717;A;10;0;27869;569
58;1;731;A;10;0;282;589
58;1;732;A;10;0;306;633
58;1;733;A;10;0;309;484
58;1;735;A;10;0;500;395
58;1;737;A;10;0;502;552
58;1;738;A;10;0;516;518
58;1;739;A;10;0;537;397
58;1;740;A;10;0;540;449
58;1;741;A;10;0;553;552
58;1;742;A;10;0;557;353
58;1;744;A;10;0;560;14291
58;1;745;A;10;0;6493;583
58;1;746;A;10;0;585;593
58;1;747;A;10;0;595;308
58;1;748;A;10;0;606;613
58;1;750;A;10;0;625;674
58;1;751;A;10;0;628;348
58;1;753;A;10;0;678;467
58;1;754;A;10;0;712;698
58;1;755;A;10;0;744;423
58;1;757;A;10;0;762;305
58;1;759;A;10;0;768;696
58;1;760;A;10;0;781;323
58;1;762;A;10;0;847;502
58;1;763;A;10;0;893;530
58;1;766;A;10;0;910;310
58;1;769;A;10;0;947;681
58;1;771;A;10;0;955;561
58;1;775;A;10;0;997;423
58;1;776;A;10;0;1014;395
58;1;777;A;10;0;1053;312
58;1;780;A;10;0;1360;540
58;1;781;A;10;0;1362;545
58;1;785;A;10;0;1466;623
58;1;786;A;10;0;1478;686
58;1;787;A;10;0;1490;14291
58;1;789;A;10;0;1497;58408
58;1;792;A;10;0;1630;586
58;1;793;A;10;0;1648;713
58;1;794;A;10;0;1680;469
58;1;795;A;10;0;1690;476
58;1;796;A;10;0;1693;521
58;1;797;A;10;0;2618;698
58;1;798;A;10;0;1715;723
58;1;799;A;10;0;1719;387
58;1;800;A;10;0;1727;674
58;1;802;A;10;0;1744;323
58;1;804;A;10;0;1749;548
58;1;805;A;10;0;2149;498
58;1;807;A;10;0;22798;619
58;1;808;A;10;0;1798;58408
58;1;810;A;10;0;1808;315
58;1;812;A;10;0;1889;319
58;1;813;A;10;0;1894;326
58;1;814;A;10;0;2591;375
58;1;815;A;10;0;2591;692
58;1;817;A;10;0;2608;617
58;1;818;A;10;0;2615;484
58;1;819;A;10;0;2617;723
58;1;820;A;10;0;2630;437
58;1;822;A;10;0;2635;657
58;1;823;A;10;0;2639;2791
58;1;824;A;10;0;2642;359
58;1;825;A;10;0;2643;634
58;1;826;A;10;0;2649;656
58;1;828;A;10;0;2651;329
58;1;829;A;10;0;2667;14289
58;1;830;A;10;0;2669;58409
58;1;832;A;10;0;2677;652
58;1;834;A;10;0;2703;529
58;1;835;A;10;0;2704;458
58;1;836;A;10;0;2706;570
58;1;838;A;10;0;2719;434
58;1;839;A;10;0;2723;332
58;1;840;A;10;0;2733;468
58;1;841;A;10;0;2742;329
58;1;842;A;10;0;2745;569
58;1;843;A;10;0;2766;627
58;1;844;A;10;0;2773;691
58;1;845;A;10;0;2778;58411
58;1;846;A;10;0;2780;592
58;1;847;A;10;0;2783;396
58;1;848;A;10;0;2792;522
58;1;849;A;10;0;2804;449
58;1;850;A;10;0;2803;433
58;1;853;A;10;0;2818;627
58;1;854;A;10;0;2821;672
58;1;856;A;10;0;2830;586
58;1;857;A;10;0;2839;339
58;1;859;A;10;0;2846;511
58;1;860;A;10;0;2857;481
58;1;861;A;10;0;2856;593
58;1;862;A;10;0;2861;656
58;1;863;A;10;0;2873;523
58;1;864;A;10;0;2894;332
58;1;865;A;10;0;2913;539
58;1;866;A;10;0;2917;698
58;1;867;A;10;0;2924;560
58;1;871;A;10;0;3037;726
58;1;872;A;10;0;3048;611
58;1;873;A;10;0;3052;530
58;1;876;A;10;0;3063;14292
58;1;877;A;10;0;17591;14291
58;1;878;A;10;0;3081;3229
58;1;881;A;10;0;3092;672
58;1;882;A;10;0;3114;352
58;1;883;A;10;0;3125;511
58;1;884;A;10;0;3143;678
58;1;885;A;10;0;21069;316
58;1;886;A;10;0;3169;698
58;1;888;A;10;0;3206;337
58;1;889;A;10;0;3220;615
58;1;892;A;10;0;3236;539
58;1;893;A;10;0;3267;699
58;1;894;A;10;0;3277;609
58;1;895;A;10;0;3282;578
58;1;896;A;10;0;3288;579
58;1;897;A;10;0;3326;395
58;1;898;A;10;0;3340;669
58;1;899;A;10;0;3349;58409
58;1;900;A;10;0;3364;609
58;1;901;A;10;0;3384;58411
58;1;903;A;10;0;3398;340
58;1;904;A;10;0;3420;556
58;1;905;A;10;0;3421;339
58;1;906;A;10;0;3446;361
58;1;907;A;10;0;3446;568
58;1;908;A;10;0;3453;404
58;1;909;A;10;0;3472;690
58;1;910;A;10;0;3474;372
58;1;911;A;10;0;3489;3231
58;1;913;A;10;0;3615;629
58;1;914;A;10;0;3623;323
58;1;915;A;10;0;3627;710
58;1;916;A;10;0;3638;3229
58;1;917;A;10;0;3653;587
58;1;918;A;10;0;3675;321
58;1;919;A;10;0;3677;373
58;1;920;A;10;0;3693;2791
58;1;921;A;10;0;3710;475
58;1;922;A;10;0;3711;641
58;1;923;A;10;0;3739;332
58;1;924;A;10;0;3745;375
58;1;925;A;10;0;3749;487
58;1;926;A;10;0;3738;324
58;1;927;A;10;0;3767;528
58;1;928;A;10;0;3789;688
58;1;929;A;10;0;3804;590
58;1;930;A;10;0;3807;515
58;1;931;A;10;0;3832;604
58;1;932;A;10;0;3838;2791
58;1;934;A;10;0;3897;520
58;1;936;A;10;0;3909;498
58;1;937;A;10;0;3917;627
58;1;938;A;10;0;3921;337
58;1;939;A;10;0;3925;726
58;1;942;A;10;0;3961;348
58;1;944;A;10;0;3968;611
58;1;945;A;10;0;3800;336
58;1;946;A;10;0;4027;641
58;1;948;A;10;0;4038;511
58;1;949;A;10;0;4042;652
58;1;950;A;10;0;4078;569
58;1;951;A;10;0;5100;349
58;1;952;A;10;0;4082;353
58;1;954;A;10;0;4117;467
58;1;955;A;10;0;4148;474
58;1;956;A;10;0;4177;14292
58;1;958;A;10;0;4136;502
58;1;960;A;10;0;5134;604
58;1;961;A;10;0;4233;589
58;1;962;A;10;0;4249;619
58;1;964;A;10;0;4260;443
58;1;966;A;10;0;4268;353
58;1;967;A;10;0;4279;58411
58;1;968;A;10;0;4293;656
58;1;970;A;10;0;5144;465
58;1;972;A;10;0;4328;632
58;1;974;A;10;0;4348;522
58;1;975;A;10;0;4373;710
58;1;976;A;10;0;4374;475
58;1;977;A;10;0;4383;587
58;1;980;A;10;0;4408;629
58;1;981;A;10;0;4423;434
58;1;983;A;10;0;4480;566
58;1;984;A;10;0;4489;348
58;1;985;A;10;0;4490;528
58;1;988;A;10;0;4525;334
58;1;993;A;10;0;4620;14292
58;1;994;A;10;0;4628;481
58;1;995;A;10;0;4644;578
58;1;999;A;10;0;4667;469
58;1;1003;A;10;0;4698;430
58;1;1005;A;10;0;4711;382
58;1;1006;A;10;0;4724;481
58;1;1007;A;10;0;4786;609
58;1;1008;A;10;0;4806;14292
58;1;1009;A;10;0;4808;695
58;1;1011;A;10;0;4771;385
58;1;1012;A;10;0;4844;387
58;1;1013;A;10;0;4845;552
58;1;1018;A;10;0;4872;590
58;1;1019;A;10;0;28171;595
58;1;1020;A;10;0;4934;479
58;1;1023;A;10;0;4963;334
58;1;1024;A;10;0;4975;422
58;1;1025;A;10;0;4977;312
58;1;1026;A;10;0;4979;555
58;1;1027;A;10;0;4989;651
58;1;1029;A;10;0;5019;58408
58;1;1030;A;10;0;5027;626
58;1;1031;A;10;0;5241;385
58;1;1035;A;10;0;5323;487
58;1;1036;A;10;0;5325;614
58;1;1037;A;10;0;5337;361
58;1;1038;A;10;0;5349;362
58;1;1041;A;10;0;19165;434
58;1;1042;A;10;0;5436;365
58;1;1044;A;10;0;5456;369
58;1;1045;A;10;0;5543;528
58;1;1046;A;10;0;5459;58411
58;1;1047;A;10;0;5481;449
58;1;1048;A;10;0;5494;718
58;1;1050;A;10;0;5508;649
58;1;1051;A;10;0;5525;2791
58;1;1052;A;10;0;5571;14292
58;1;1053;A;10;0;5572;595
58;1;1054;A;10;0;5574;372
58;1;1056;A;10;0;5590;410
58;1;1057;A;10;0;5593;518
58;1;1059;A;10;0;5608;678
58;1;1060;A;10;0;5655;514
58;1;1061;A;10;0;5673;611
58;1;1062;A;10;0;5677;14290
58;1;1064;A;10;0;5701;308
58;1;1065;A;10;0;5707;465
58;1;1066;A;10;0;5708;569
58;1;1067;A;10;0;5709;614
58;1;1068;A;10;0;13571;694
58;1;1070;A;10;0;5028;441
58;1;1071;A;10;0;5759;377
58;1;1072;A;10;0;5776;556
58;1;1073;A;10;0;5789;58409
58;1;1074;A;10;0;5794;474
58;1;1076;A;10;0;5804;14290
58;1;1078;A;10;0;5848;511
58;1;1079;A;10;0;5850;487
58;1;1080;A;10;0;5864;3229
58;1;1082;A;10;0;5904;375
58;1;1083;A;10;0;5914;324
58;1;1084;A;10;0;5924;698
58;1;1085;A;10;0;5927;382
58;1;1086;A;10;0;5967;580
58;1;1088;A;10;0;5984;498
58;1;1089;A;10;0;5993;383
58;1;1090;A;10;0;6008;319
58;1;1091;A;10;0;6021;422
58;1;1092;A;10;0;6049;14292
58;1;1093;A;10;0;6450;58410
58;1;1094;A;10;0;6453;664
58;1;1098;A;10;0;6472;14292
58;1;1099;A;10;0;6097;58409
58;1;1100;A;10;0;6108;652
58;1;1101;A;10;0;6120;387
58;1;1103;A;10;0;6147;403
58;1;1106;A;10;0;6481;400
58;1;1107;A;10;0;6183;614
58;1;1109;A;10;0;6490;694
58;1;1111;A;10;0;6261;664
58;1;1112;A;10;0;16266;14292
58;1;1113;A;10;0;6296;580
