CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
58;1;9952;;33809
58;1;13458;;35164
58;1;13667;;13668
58;1;13668;13667;
58;1;13704;31996;
58;1;13710;;13711
58;1;13711;13710;
58;1;13806;;61362
58;1;13816;;60366
58;1;13876;45502;
58;1;14169;54878;54879
58;1;14171;8492;8493
58;1;14172;8697;8698
58;1;14173;8775;8776
58;1;14174;8707;8708
58;1;14175;;14176
58;1;14176;14175;
58;1;14177;9222;42128
58;1;14178;54894;54895
58;1;14179;54899;54900
58;1;14180;30951;
58;1;14181;54981;
58;1;14183;54903;
58;1;14186;54906;
58;1;30679;;56798
58;1;30944;8779;
58;1;30945;8781;43417
58;1;30951;8755;14180
58;1;30994;8675;8676
58;1;31289;;31290
58;1;31290;31289;31291
58;1;31291;31290;31292
58;1;31292;31291;
58;1;31310;;31311
58;1;31311;31310;
58;1;31322;;31323
58;1;31323;31322;31324
58;1;31324;31323;
58;1;31335;;31336
58;1;31336;31335;
58;1;31345;;31346
58;1;31346;31345;31347
58;1;31347;31346;31357
58;1;31357;31347;
58;1;31360;;31361
58;1;31361;31360;43173
58;1;31369;;31370
58;1;31370;31369;31371
58;1;31371;31370;
58;1;31378;;31379
58;1;31379;31378;
58;1;31386;;31387
58;1;31387;31386;31388
58;1;31388;31387;
58;1;31399;;31400
58;1;31400;31399;
58;1;31406;9514;31407
58;1;31407;31406;35165
58;1;31423;7201;
58;1;31428;9150;
58;1;31471;;9417
58;1;31517;;8785
58;1;31533;8596;
58;1;31542;;31759
58;1;31545;9191;
58;1;31550;9225;
58;1;31553;8866;35191
58;1;31554;8870;8871
58;1;31557;;9393
58;1;31565;9409;
58;1;31566;;9410
58;1;31569;9426;
58;1;31570;9428;
58;1;31571;9431;
58;1;31572;9433;
58;1;31576;;9449
58;1;31578;9457;
58;1;31580;9460;
58;1;31581;9463;31582
58;1;31582;31581;
58;1;31590;9480;9481
58;1;31592;;9483
58;1;31593;9494;
58;1;31595;;9499
58;1;31596;9512;
58;1;31603;9520;
58;1;31604;;9522
58;1;31605;9522;
58;1;31606;9525;31607
58;1;31607;31606;
58;1;31609;9530;
58;1;31611;9532;
58;1;31669;;31670
58;1;31670;31669;
58;1;31759;31542;31760
58;1;31760;31759;31761
58;1;31761;31760;31762
58;1;31762;31761;
58;1;31783;;31784
58;1;31784;31783;8548
58;1;31800;;7201
58;1;31862;;9186
58;1;31971;;31972
58;1;31972;31971;
58;1;31996;;13704
58;1;32001;;32002
58;1;32002;32001;
58;1;32009;;32010
58;1;32010;32009;
58;1;32018;;32019
58;1;32019;32018;32020
58;1;32020;32019;32021
58;1;32021;32020;
58;1;32074;9419;
58;1;32077;;32078
58;1;32078;32077;
58;1;32087;;32088
58;1;32088;32087;
58;1;32096;;32097
58;1;32097;32096;32098
58;1;32098;32097;
58;1;32112;;32113
58;1;32113;32112;
58;1;32119;36032;32120
58;1;32120;32119;
58;1;32129;;32130
58;1;32130;32129;32131
58;1;32131;32130;
58;1;32155;;32156
58;1;32156;32155;32157
58;1;32157;32156;
58;1;32172;;32321
58;1;32210;;32211
58;1;32211;32210;
58;1;32256;;33389
58;1;32264;;32265
58;1;32265;32264;
58;1;32275;;32277
58;1;32277;32275;
