CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
58;1;31815;A;6;4;26412;2655
58;1;31816;A;6;4;5618;2756
58;1;31817;A;6;4;7694;2756
58;1;31818;A;6;4;12557;2756
58;1;31819;A;6;4;25197;2756
58;1;31820;A;6;4;28346;2756
58;1;31822;A;6;4;16582;5419
58;1;31823;A;6;4;25338;1956
58;1;31827;A;6;3;7565;1956
58;1;31828;A;6;1;7190;1956
58;1;31830;A;5;2;15567;31927
58;1;31831;A;5;2;7729;31927
58;1;31832;A;5;2;15178;31940
58;1;31833;A;6;4;18836;1956
58;1;31834;A;6;4;19861;1956
58;1;31835;A;6;4;25109;1956
58;1;31836;A;6;4;27455;1956
58;1;31837;A;6;4;26645;1956
58;1;31838;A;5;2;7760;3750
58;1;31839;A;5;2;26052;2571
58;1;31840;A;6;4;2130;804
58;1;31842;A;6;4;7946;294
58;1;31843;A;12;0;18813;264
58;1;31844;A;12;0;25092;264
58;1;31968;A;6;4;21369;2236
58;1;32435;A;6;1;18975;296
58;1;32445;A;6;1;24289;2332
58;1;32446;A;6;1;24982;892
58;1;32500;A;12;0;3529;4942
58;1;32501;A;12;0;3532;4942
58;1;32502;A;12;0;3578;4942
58;1;32503;A;12;0;3562;4925
58;1;32504;A;12;0;3539;4942
58;1;32505;A;12;0;3584;4925
58;1;32506;A;12;0;3571;4974
58;1;32507;A;12;0;3558;4974
58;1;32508;A;12;0;3524;4974
58;1;32509;A;12;0;3538;4974
58;1;32510;A;12;0;3528;4974
58;1;32511;A;12;0;3570;4974
58;1;32512;A;12;0;3527;4974
58;1;32513;A;12;0;3564;32812
58;1;32514;A;12;0;3583;32812
58;1;32515;A;12;0;3536;4925
58;1;32516;A;12;0;3508;4925
58;1;32517;A;12;0;3548;32825
58;1;32518;A;12;0;3518;32825
58;1;32519;A;12;0;3565;32825
58;1;32520;A;12;0;3535;32825
58;1;32521;A;12;0;3537;32814
58;1;32523;A;12;0;3561;32817
58;1;32524;A;12;0;3553;32817
58;1;32525;A;12;0;3526;32817
58;1;32526;A;12;0;3504;32817
58;1;32527;A;12;0;3567;32817
58;1;32528;A;12;0;3534;32817
58;1;32529;A;12;0;3505;32817
58;1;32530;A;12;0;3510;32817
58;1;32531;A;12;0;3506;32817
58;1;32532;A;12;0;3563;4896
58;1;32533;A;12;0;3511;4896
58;1;32534;A;12;0;3544;32816
58;1;32535;A;12;0;3550;32816
58;1;32536;A;12;0;3549;32816
58;1;32537;A;12;0;3519;32816
58;1;32538;A;12;0;3545;32815
58;1;32539;A;12;0;3556;32815
58;1;32540;A;12;0;3517;32815
58;1;32541;A;12;0;3579;32815
58;1;32542;A;12;0;3516;32815
58;1;32543;A;12;0;3525;32812
58;1;32544;A;12;0;3585;32812
58;1;32545;A;12;0;3566;32812
58;1;32546;A;12;0;3552;4885
58;1;32547;A;12;0;3573;4942
58;1;32548;A;12;0;3574;4942
58;1;32549;A;12;0;3523;4942
58;1;32550;A;12;0;3586;4942
58;1;32564;A;12;0;3568;4942
58;1;32565;A;12;0;3513;4925
58;1;32566;A;12;0;3542;32815
58;1;32567;A;6;4;17099;32812
58;1;32568;A;6;4;19596;32812
58;1;32569;A;6;4;7618;32817
58;1;32627;A;6;1;1039;4974
58;1;32646;A;6;4;24298;32813
58;1;32647;A;6;4;7568;4925
58;1;32648;A;6;4;16812;4925
58;1;32649;A;6;4;26606;32812
58;1;32650;A;6;1;5404;32812
58;1;32651;A;6;1;5403;4885
58;1;32652;A;6;1;26846;32815
58;1;32653;A;6;1;17660;32817
58;1;32654;A;6;1;24320;32817
58;1;32664;A;6;1;864;32817
58;1;32700;A;6;4;24302;32825
58;1;32790;A;12;0;3554;32817
58;1;32851;A;6;2;21236;4885
58;1;32899;A;6;4;7938;4942
58;1;32900;A;6;4;7939;32816
58;1;32902;A;12;0;3530;4925
58;1;32943;A;6;1;20699;4885
58;1;32944;A;6;1;24792;32815
58;1;32945;A;6;1;24791;32817
58;1;32946;A;6;1;23728;32817
58;1;32947;A;6;1;8203;4942
58;1;32948;A;12;0;3546;4942
58;1;32949;A;6;1;8201;4942
58;1;32950;A;6;1;8202;4885
58;1;32951;A;6;4;26238;4925
58;1;33076;A;6;3;9091;1589
58;1;33077;A;6;4;13911;1589
