CID;LID;NID;NAME;NCOMMENT
58;1;559;Ahausen;
58;1;560;Ahlbeck;
58;1;561;Ahlden (Aller);
58;1;562;Ahlem;
58;1;563;Ahlemer Straße;
58;1;564;Ahlen;
58;1;565;Ahlener Straße;
58;1;566;Ahler Mark;
58;1;567;Ahlerstedt;
58;1;568;Ahlhorn;
58;1;569;Ahlhorn/B213;
58;1;570;Ahlhorner Heide;
58;1;571;Ahlken;
58;1;572;Ahlten/Höver;
58;1;573;Ahltener Straße;
58;1;574;Ahlum;
58;1;575;Ahorn;
58;1;576;Ahornallee;
58;1;577;Ahorntal;
58;1;578;Ahrbergen;
58;1;579;Ahrbergen-Süd;
58;1;580;Ahrbrück;
58;1;581;Ahrdorf;
58;1;582;Ahrenholz;
58;1;583;Ahrensburg;
58;1;584;Ahrensburger Straße;
58;1;585;Ahrensbök;
58;1;586;Ahrensdorf;
58;1;587;Ahrensdorfer Heide;
58;1;588;Ahrensfelde;
58;1;589;Ahrensfelder Chaussee;
58;1;590;Ahrhütte;
58;1;591;Ahrsen;
58;1;592;Ahrweiler;
58;1;593;Aich;
58;1;594;Aicha vorm Wald;
58;1;595;Aichach;
58;1;596;Aichach-Friedberg;
58;1;597;Aichach-Ost;
58;1;598;Aichach-Süd;
58;1;599;Aichach-West;
58;1;600;Aichacher Straße;
58;1;601;Aichelberg;
58;1;602;Aichen;
58;1;603;Aicher Straße;
58;1;604;Aichet;
58;1;605;Aichig;
58;1;606;Aichstetten;
58;1;607;Aichtal;
58;1;608;Aichtal-Nord;
58;1;609;Aichtal-Süd;
58;1;610;Aichtal/B27;
58;1;611;Aichtal/B312;
58;1;612;Aichtalbrücke;
58;1;613;Aidenbach;
58;1;614;Aidenbachstraße;
58;1;615;Aidenbachstraße, Murnauer Straße;
58;1;616;Aiglsbach;
58;1;617;Ailertchen;
58;1;618;Airbus-Allee;
58;1;619;Airport Bremen;
58;1;620;Airport-Stadt;
58;1;621;Airport-Stadt/Weserstadion;
58;1;622;Airportring;
58;1;623;Aislingen;
58;1;624;Aiterbach;
58;1;625;Aiterhofen;
58;1;626;Aitrach;
58;1;627;Akeleiweg;
58;1;628;Aken;
58;1;629;Aken-Elbe;
58;1;630;Aktienstraße;
58;1;631;Aktienweg / L117;
58;1;632;Alarichstraße;
58;1;633;Alb-Donau-Kreis;
58;1;634;Albaching;
58;1;635;Albbruck;
58;1;636;Albenstadt;
58;1;637;Albersdorf;
58;1;638;Albersdorf-Meldorf;
58;1;639;Albershausen;
58;1;640;Albersloher Weg;
58;1;641;Albersrieth;
58;1;642;Albert-Einstein-Straße;
58;1;643;Albert-Roßhaupter-Straße;
58;1;644;Albert-Schweitzer-Straße;
58;1;645;Albert-Vater-Straße;
58;1;646;Albertbrücke;
58;1;647;Albertplatz;
58;1;648;Albertstraße;
58;1;649;Albhochfläche;
58;1;650;Albhöhe;
58;1;651;Albig;
58;1;652;Albinshof;
58;1;653;Albisheim;
58;1;654;Alboinstraße;
58;1;655;Albplatz;
58;1;656;Albrecht-Dürer-Straße;
58;1;657;Albrechtshof;
58;1;658;Albrechtstraße;
58;1;659;Albstadt;
58;1;660;Albstadt-Ebingen Mitte;
58;1;661;Albstadt-Laufen;
58;1;662;Albstadt-Lautlingen;
58;1;663;Aldenhoven;
58;1;664;Aldersbach;
58;1;665;Aldingen;
58;1;666;Aldingen-Neuhaus/Frittlingen;
58;1;667;Aldinger Straße;
58;1;668;Alerheim;
58;1;669;Aletshausen;
58;1;670;Alexandereck;
58;1;671;Alexanderhütte;
58;1;672;Alexanderplatz;
58;1;673;Alexanderstraße;
58;1;674;Alexanderufer;
58;1;675;Alexisbad;
58;1;676;Alf;
58;1;677;Alfeld;
58;1;678;Alfeld (Leine);
58;1;679;Alfeld-Süd;
58;1;680;Alfeld/Nordtangente;
58;1;681;Alfelder Straße;
