CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
58;1;8892;L;3;0;B49;;9559;25671;50396;;1
58;1;8893;L;3;0;B49;;27926;5454;50396;;262
58;1;8894;L;3;0;B49;;15741;9132;50396;;262
58;1;8895;L;3;0;B49;;9132;768;50396;;281
58;1;8897;L;3;0;B5;;9552;10933;50398;;256
58;1;8898;L;3;0;B5;;10933;12665;50398;;256
58;1;8899;L;3;0;B5;;10458;10463;50398;;1
58;1;8900;L;3;0;B5;;10463;4176;50398;;1
58;1;8901;L;3;0;B5;;4176;16107;50398;;14292
58;1;8902;L;3;0;B5;;16107;14320;50398;;1
58;1;8903;L;3;0;B5;;14320;17947;50398;;267
58;1;8904;L;3;0;B5;;17947;5353;50398;;1
58;1;8905;L;3;0;B5;;5353;17255;50398;;266
58;1;8906;L;3;0;B5;;17255;3797;50398;;266
58;1;8907;L;3;0;B5;;3797;8124;50398;;1
58;1;8908;L;3;0;B50;;9559;3947;50399;;262
58;1;8909;L;3;0;B50;;27926;3641;50399;;262
58;1;8916;L;3;0;B51;;9555;22504;50405;;265
58;1;8917;L;3;0;B51;;22504;25671;50405;;1
58;1;8918;L;3;0;B51;;25671;3947;50405;;1
58;1;8919;L;3;0;B51;;20817;14349;50405;;1
58;1;8920;L;3;0;B51;;14349;4086;50405;;260
58;1;8922;L;3;0;B51;;17850;19780;50405;;1
58;1;8923;L;3;0;B51;;19780;5927;50405;;258
58;1;8924;L;3;0;B51;;5927;27547;50405;;382
58;1;8934;L;3;0;B54;;15741;23951;50414;;1
58;1;8935;L;3;0;B54;;23951;16282;50414;;272
58;1;8936;L;3;0;B54;;16282;6189;50414;;272
58;1;8937;L;3;0;B54;;27340;24607;50414;;292
58;1;8938;L;3;0;B54;;24607;9553;50414;;292
58;1;8940;L;3;0;B55;;663;19584;50416;;260
58;1;8941;L;3;0;B55;;19584;26880;50416;;272
58;1;8942;L;3;0;B55;;26880;21514;50416;;260
58;1;8944;L;3;0;B56;;24110;6504;50418;;287
58;1;8945;L;3;0;B56;;6504;4201;50418;;287
58;1;8946;L;3;0;B56;;4201;7182;50418;;287
58;1;8947;L;3;0;B57;;267;17594;50419;;260
58;1;8948;L;3;0;B57;;21549;13734;50419;;279
58;1;8949;L;3;0;B58;;24778;27376;50420;;279
58;1;8950;L;3;0;B58;;27376;10415;50420;;260
58;1;8951;L;3;0;B58;;10415;3267;50420;;292
58;1;8954;L;3;0;B6;27395;8802;28133;50423;;991
58;1;8955;L;3;0;B6;;4554;18722;50423;;1
58;1;8956;L;3;0;B6;;18722;10561;50423;;258
58;1;8957;L;3;0;B6;;10561;11490;50423;;258
58;1;8958;L;3;0;B6;;11490;9386;50423;;258
58;1;8959;L;3;0;B6;;9386;27350;50423;;1
58;1;8961;L;3;0;B6;;1744;14477;50423;;270
58;1;8962;L;3;0;B6;;10378;15454;50423;;1
58;1;8963;L;3;0;B6;;15454;28166;50423;;288
58;1;8964;L;3;0;B6;;16940;6319;50423;;278
58;1;8965;L;3;0;B6;;6319;3206;50423;;278
58;1;8966;L;3;0;B6;;3206;10107;50423;;278
