CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
58;1;20306;P;1;15;;;7504;;3851;;8441;;1;1;1;1;1;1;;;+00930475;+4873530;0;0
58;1;20307;P;1;15;;;20569;;52720;;8441;;1;1;1;1;1;1;;;+00940590;+4871205;0;0
58;1;20308;P;1;15;;;20570;;2161;;8441;;1;1;1;1;1;1;;;+00941490;+4870600;0;0
58;1;20309;P;1;15;;;25860;;3994;;8441;;1;1;1;1;1;1;;;+00957670;+4870620;0;0
58;1;20314;P;1;3;62;;25888;;3842;;8441;;1;1;1;1;1;1;;;+00996165;+4845640;0;0
58;1;20315;P;1;15;;;4010;;689;;8441;;1;1;1;1;1;1;;;+00997410;+4842595;0;0
58;1;20317;P;1;11;;3932;28433;;689;;8442;;1;1;1;1;1;1;;;+00998150;+4839340;0;1
58;1;20318;P;1;8;;7578;18111;;1982;;8442;;1;1;1;1;1;1;;;+00999350;+4838060;0;0
58;1;20319;P;1;3;;;18055;;1975;;8442;;1;1;1;1;1;1;;;+01009400;+4841380;0;0
58;1;20320;P;3;37;;;18055;;1975;;8442;;1;1;1;1;1;1;;;+01012370;+4842850;0;0
58;1;20321;P;1;3;;;15452;;1783;;8442;;1;1;1;1;1;1;;;+01020870;+4844480;0;0
58;1;20323;P;3;37;;;10155;;1409;;8442;;1;1;1;1;1;1;;;+01029090;+4845370;0;0
58;1;20324;P;3;37;;;4943;;31699;;8442;;1;1;1;1;1;1;;;+01041810;+4842530;0;0
58;1;20325;P;3;37;;;22292;;2261;;8442;;1;1;1;1;1;1;;;+01044160;+4842380;0;0
58;1;20327;P;3;37;;;28553;;2784;;8442;;1;1;1;1;1;1;;;+01059670;+4839890;0;0
58;1;20328;P;3;37;;;12008;;3884;;8442;;1;1;1;1;1;1;;;+01069105;+4839535;0;0
58;1;20329;P;3;37;;;3738;;926;;8442;;1;1;1;1;1;1;;;+01076210;+4837570;0;0
58;1;20330;P;1;12;;;26380;;1083;;8442;;1;1;1;1;1;1;;;+01079750;+4836930;0;0
58;1;20346;P;1;11;;3599;5842;;447;;;8443;1;1;1;1;1;1;;;+01199310;+5149975;0;1
58;1;20347;P;1;3;;3607;10387;;447;;;8443;1;1;1;1;1;1;;;+01204390;+5150615;0;1
58;1;20348;P;1;3;;;10385;;984;;;8443;1;1;1;1;1;1;;;+01218930;+5155120;0;0
58;1;20349;P;1;11;;;4488;;984;;;8443;1;1;1;1;1;1;;;+01222300;+5156745;0;0
58;1;20350;P;1;11;;;3962;;942;;;8443;1;1;1;1;1;1;;;+01229990;+5160895;0;0
58;1;20351;P;1;12;;;3961;;942;;;8443;1;1;1;1;1;1;;;+01232760;+5162630;0;0
58;1;20352;P;1;12;;;20704;;2179;;;8443;1;1;1;1;1;1;;;+01243070;+5162250;0;0
58;1;20353;P;1;11;;;9908;;1369;;;8443;1;1;1;1;1;1;;;+01248115;+5173725;0;0
58;1;20354;P;1;12;;;7592;;3664;;;8443;1;1;1;1;1;1;;;+01263660;+5181800;0;0
58;1;20355;P;1;11;;9307;22974;;808;;52435;;1;1;1;1;1;1;;;+01269705;+5058900;0;1
58;1;20356;P;1;11;;;1497;;789;;52435;;1;1;1;1;1;1;;;+01301345;+5058940;0;0
58;1;20357;P;1;11;;;28048;;2741;;52436;;1;1;1;1;1;1;;;+01308445;+5065790;0;0
58;1;20358;P;1;11;;;11513;;2741;;52436;;1;1;1;1;1;1;;;+01311950;+5068015;0;0
58;1;20359;P;1;11;;1498;5372;;1257;;52436;;1;1;1;1;1;1;;;+01333875;+5091425;0;1
58;1;20360;P;1;3;;;23934;1929;42919;;52437;;1;1;1;1;1;1;;;+01329330;+5103480;0;0
58;1;20361;P;1;12;;;18926;;2046;;52437;;1;1;1;1;1;1;;;+01329805;+5105680;0;0
58;1;20362;P;1;3;;1925;18928;;2046;;52437;;1;1;1;1;1;1;;;+01334435;+5105685;0;0
58;1;20363;P;1;12;;;9789;;1895;;8444;;1;1;1;1;1;1;;;+01349015;+5116720;0;0
58;1;20364;P;1;11;;;9788;;2938;;8444;;1;1;1;1;1;1;;;+01353480;+5129445;0;0
58;1;20365;P;1;12;;;20810;;14069;;8445;;1;1;1;1;1;1;;;+01350515;+5143170;0;0
58;1;20366;P;1;12;;15229;7048;;1172;;8445;;1;1;1;1;1;1;;;+01352920;+5146465;0;1
58;1;20367;P;1;11;;19671;2784;3607;847;;8445;;1;1;1;1;1;1;;;+01339860;+5153200;0;0
58;1;20368;P;1;11;;;27812;;14048;;8446;;1;1;1;1;1;1;;;+01337910;+5155220;0;0
58;1;20369;P;1;10;;6331;11389;8149;1508;;8446;;1;1;1;1;1;1;;;+01324900;+5169600;0;1
58;1;20371;P;1;12;;11395;4401;11919;12521;;8446;;1;1;1;1;1;1;;;+01317960;+5179540;0;0
58;1;20372;P;1;11;;;24763;;4011;;8446;;1;1;1;1;1;1;;;+01314570;+5184670;0;0
58;1;20373;P;1;11;;;11736;;1537;;8446;;1;1;1;1;1;1;;;+01312255;+5193145;0;0
58;1;20374;P;1;10;;;12878;;1613;;8446;;1;1;1;1;1;1;;;+01310470;+5197740;0;0
58;1;20375;P;1;10;;;12876;3144;1613;;8446;;1;1;1;1;1;1;;;+01311110;+5198300;0;0
58;1;20376;P;1;12;;;12877;16043;1613;;8446;;1;1;1;1;1;1;;;+01309680;+5200880;0;0
58;1;20377;P;1;10;;25610;3279;;1829;;8446;;1;1;1;1;1;1;;;+01317380;+5209180;0;1
58;1;20378;P;1;15;;;25609;;2543;;8446;;1;1;1;1;1;1;;;+01325830;+5221300;0;0
58;1;20381;P;1;3;;;8924;;1321;;;34274;1;1;1;1;1;1;;;+01331470;+5230630;0;0
58;1;20382;P;1;9;;;9754;;1393;;;34274;1;1;1;1;1;1;;;+01330725;+5235375;0;0
58;1;20383;P;1;11;;16605;28608;;1482;;;34274;0;1;1;0;1;1;;;+01332605;+5237950;0;0
58;1;20384;P;1;12;;16605;25510;;;32535;8447;;1;1;1;1;1;1;;;+01335295;+5240240;0;1
58;1;20385;P;1;11;;8344;17909;11481;;32535;8447;;1;1;1;1;1;1;;;+01336145;+5241250;0;1
58;1;20386;P;1;11;;9757;8350;15185;;32536;8447;;1;1;1;0;1;1;;;+01338045;+5243790;0;1
58;1;20387;P;1;11;;813;16602;;;32536;32871;;0;1;0;0;1;1;;;+01338730;+5244020;0;1
