CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
58;1;6365;58;1;6370
58;1;6368;58;1;26288
58;1;6370;58;1;6365
58;1;6371;58;1;10022
58;1;6376;58;1;40760
58;1;6377;58;1;23959
58;1;6467;58;1;22181
58;1;6469;58;1;36657
58;1;6470;58;1;6496
58;1;6472;58;1;59616
58;1;6473;58;1;6874
58;1;6476;58;1;6477
58;1;6477;58;1;6476
58;1;6479;58;1;25950
58;1;6481;58;1;36648
58;1;6487;58;1;6878
58;1;6489;58;1;6490
58;1;6490;58;1;6489
58;1;6492;58;1;45011
58;1;6493;58;1;45322
58;1;6494;58;1;36659
58;1;6496;58;1;39139
58;1;6500;58;1;6745
58;1;6502;58;1;36613
58;1;6505;58;1;6632
58;1;6507;58;1;35513
58;1;6511;58;1;46241
58;1;6517;58;1;35684
58;1;6519;58;1;46473
58;1;6520;58;1;53853
58;1;6525;58;1;55318
58;1;6527;58;1;35629
58;1;6529;58;1;53760
58;1;6531;58;1;53762
58;1;6535;58;1;45487
58;1;6536;58;1;6540
58;1;6537;58;1;35667
58;1;6538;58;1;35792
58;1;6540;58;1;6536
58;1;6541;58;1;35997
58;1;6544;58;1;6573
58;1;6545;58;1;35998
58;1;6548;58;1;10678
58;1;6554;58;1;53825
58;1;6557;58;1;53761
58;1;6558;58;1;6560
58;1;6560;58;1;6558
58;1;6561;58;1;53812
58;1;6563;58;1;46206
58;1;6564;58;1;6565
58;1;6565;58;1;6564
58;1;6566;58;1;6567
58;1;6567;58;1;6566
58;1;6570;58;1;7411
58;1;6571;58;1;7415
58;1;6572;58;1;6586
58;1;6573;58;1;35516
58;1;6575;58;1;35764
58;1;6578;58;1;6581
58;1;6581;58;1;6578
58;1;6582;58;1;7410
58;1;6583;58;1;7414
58;1;6586;58;1;6572
58;1;6589;58;1;6590
58;1;6590;58;1;6589
58;1;6591;58;1;7408
58;1;6593;58;1;35517
58;1;6604;58;1;6621
58;1;6608;58;1;6611
58;1;6609;58;1;10690
58;1;6611;58;1;6608
58;1;6612;58;1;25002
58;1;6613;58;1;46407
58;1;6615;58;1;35892
58;1;6621;58;1;6604
58;1;6624;58;1;35900
58;1;6628;58;1;46260
58;1;6629;58;1;35877
58;1;6632;58;1;46281
58;1;6634;58;1;46272
58;1;6635;58;1;46290
58;1;6636;58;1;35512
58;1;6638;58;1;24041
58;1;6639;58;1;35541
58;1;6645;58;1;37127
58;1;6646;58;1;36682
58;1;6647;58;1;26278
58;1;6648;58;1;11552
58;1;6651;58;1;53390
58;1;6652;58;1;36683
58;1;6657;58;1;39255
58;1;6660;58;1;39192
58;1;6661;58;1;25829
58;1;6662;58;1;44476
58;1;6663;58;1;39152
58;1;6665;58;1;22505
58;1;6666;58;1;6802
58;1;6667;58;1;6801
58;1;6668;58;1;11529
58;1;6669;58;1;53589
58;1;6674;58;1;37109
58;1;6675;58;1;45394
58;1;6677;58;1;37078
58;1;6678;58;1;26277
58;1;6680;58;1;37116
58;1;6685;58;1;6693
58;1;6686;58;1;6694
58;1;6687;58;1;44091
58;1;6689;58;1;37015
58;1;6691;58;1;11372
58;1;6692;58;1;37114
58;1;6693;58;1;6685
58;1;6694;58;1;6686
58;1;6695;58;1;44074
58;1;6696;58;1;44089
58;1;6697;58;1;37076
58;1;6698;58;1;45390
58;1;6700;58;1;6793
58;1;6708;58;1;6728
58;1;6714;58;1;6859
58;1;6715;58;1;6866
58;1;6719;58;1;45086
58;1;6725;58;1;22162
58;1;6728;58;1;6708
58;1;6730;58;1;36438
58;1;6733;58;1;6738
58;1;6734;58;1;6739
58;1;6737;58;1;11538
58;1;6738;58;1;6733
58;1;6739;58;1;6734
58;1;6744;58;1;43485
58;1;6745;58;1;6500
58;1;6746;58;1;6751
58;1;6748;58;1;6842
58;1;6749;58;1;36612
58;1;6750;58;1;36611
58;1;6751;58;1;6746
58;1;6752;58;1;24710
58;1;6753;58;1;6850
58;1;6754;58;1;6755
58;1;6755;58;1;6754
58;1;6756;58;1;6757
58;1;6757;58;1;6756
58;1;6758;58;1;50020
58;1;6760;58;1;6761
58;1;6761;58;1;6760
58;1;6762;58;1;6763
58;1;6763;58;1;6762
58;1;6764;58;1;30320
58;1;6765;58;1;30306
58;1;6766;58;1;42998
58;1;6769;58;1;6773
58;1;6773;58;1;26126
58;1;6774;58;1;6781
58;1;6775;58;1;36714
58;1;6776;58;1;39103
58;1;6778;58;1;36617
58;1;6779;58;1;23991
58;1;6781;58;1;6774
58;1;6782;58;1;45329
58;1;6784;58;1;37013
58;1;6786;58;1;6787
58;1;6787;58;1;6786
58;1;6789;58;1;45259
58;1;6790;58;1;45306
58;1;6791;58;1;45309
58;1;6793;58;1;6700
58;1;6794;58;1;39028
58;1;6795;58;1;39029
58;1;6801;58;1;6667
58;1;6802;58;1;6666
58;1;6803;58;1;6815
58;1;6805;58;1;53590
58;1;6809;58;1;39231
58;1;6810;58;1;36622
58;1;6814;58;1;6824
58;1;6815;58;1;6803
58;1;6816;58;1;6669
58;1;6820;58;1;37098
58;1;6821;58;1;45191
58;1;6824;58;1;6814
58;1;6825;58;1;11400
58;1;6828;58;1;44301
58;1;6830;58;1;6831
58;1;6831;58;1;6830
58;1;6832;58;1;45198
58;1;6833;58;1;45199
58;1;6834;58;1;45229
58;1;6835;58;1;45228
58;1;6842;58;1;6748
58;1;6845;58;1;36610
58;1;6847;58;1;36619
58;1;6850;58;1;6753
58;1;6857;58;1;6871
58;1;6858;58;1;6864
58;1;6859;58;1;6714
58;1;6861;58;1;44199
58;1;6862;58;1;6870
58;1;6864;58;1;6858
58;1;6865;58;1;6857
58;1;6866;58;1;6715
58;1;6870;58;1;6862
58;1;6871;58;1;6865
58;1;6873;58;1;22414
58;1;6874;58;1;6473
58;1;6875;58;1;6876
58;1;6876;58;1;6877
58;1;6877;58;1;6875
58;1;6878;58;1;6487
58;1;6879;58;1;23581
58;1;6880;58;1;36822
58;1;6881;58;1;23372
58;1;6887;58;1;43479
58;1;6913;58;1;57728
58;1;6914;58;1;57787
58;1;6915;58;1;6916
58;1;6916;58;1;6915
58;1;6917;58;1;6929
58;1;6918;58;1;6919
58;1;6919;58;1;6918
58;1;6920;58;1;6922
58;1;6921;58;1;6926
58;1;6922;58;1;6920
58;1;6925;58;1;6937
58;1;6926;58;1;6921
58;1;6928;58;1;6942
58;1;6929;58;1;6940
58;1;6931;58;1;6932
58;1;6932;58;1;6931
58;1;6935;58;1;6936
58;1;6936;58;1;6935
58;1;6937;58;1;6925
58;1;6938;58;1;6939
58;1;6939;58;1;6938
58;1;6940;58;1;6917
58;1;6942;58;1;6928
58;1;6951;58;1;6956
58;1;6952;58;1;6967
58;1;6954;58;1;6965
58;1;6956;58;1;6951
58;1;6957;58;1;6960
58;1;6960;58;1;6957
58;1;6961;58;1;6970
58;1;6962;58;1;10630
58;1;6965;58;1;6954
58;1;6967;58;1;6952
58;1;6968;58;1;6971
58;1;6970;58;1;6961
58;1;6971;58;1;6968
58;1;6972;58;1;10628
58;1;6976;58;1;6984
58;1;6977;58;1;6987
58;1;6980;58;1;6986
58;1;6984;58;1;6976
58;1;6986;58;1;6980
58;1;6987;58;1;6977
58;1;6997;58;1;2112
58;1;6998;58;1;21644
58;1;7211;58;1;7244
58;1;7223;58;1;7247
58;1;7225;58;1;1979
58;1;7234;58;1;7249
58;1;7244;58;1;7211
58;1;7245;58;1;10156
58;1;7246;58;1;7248
58;1;7247;58;1;7223
58;1;7248;58;1;7246
58;1;7249;58;1;7234
58;1;7250;58;1;7254
58;1;7251;58;1;49362
58;1;7253;58;1;7261
58;1;7254;58;1;7250
58;1;7256;58;1;7263
58;1;7259;58;1;25863
58;1;7260;58;1;7264
58;1;7261;58;1;7253
58;1;7263;58;1;7256
58;1;7264;58;1;7260
58;1;7266;58;1;7271
58;1;7267;58;1;7269
58;1;7269;58;1;7267
58;1;7270;58;1;49476
58;1;7271;58;1;7266
58;1;7272;58;1;7283
58;1;7273;58;1;7278
58;1;7278;58;1;7273
58;1;7281;58;1;44540
58;1;7283;58;1;7272
58;1;7397;58;1;35793
58;1;7401;58;1;23511
58;1;7403;58;1;10142
58;1;7406;58;1;10676
58;1;7408;58;1;6591
58;1;7409;58;1;7413
58;1;7410;58;1;6582
58;1;7411;58;1;6570
58;1;7413;58;1;7409
58;1;7414;58;1;6583
58;1;7415;58;1;6571
58;1;7420;58;1;35875
58;1;7421;58;1;46208
58;1;7423;58;1;35895
58;1;7424;58;1;7431
58;1;7427;58;1;53787
58;1;7430;58;1;35789
58;1;7431;58;1;7424
58;1;7433;58;1;46160
58;1;7435;58;1;35871
58;1;7436;58;1;7445
58;1;7441;58;1;35873
58;1;7445;58;1;7436
